CODLOCAL,Prediccion
034627,1.875768127817584
025675,1.4100446304786631
017656,1.153443399904624
024384,1.3890937100663456
023271,1.6239144637021738
015493,1.6153269524263887
015351,1.409616920222935
018062,1.884015478246387
022691,1.366479533400196
018948,2.0941371351290794
015921,1.3847725989168784
018892,1.6771286566674628
029305,1.3006509783356264
029782,1.4821363622859418
024044,1.352358670033761
020767,1.5700320483851458
019599,2.9995296912106166
025152,2.2038784505769464
026095,1.872001142909745
025802,1.3943530906607413
029980,1.6096708171553948
025425,0.9980453733264792
025289,2.0045875733830334
019641,1.7383087174515837
026646,1.3345674118918067
016360,1.6689715030532064
020753,1.2494082275713418
017374,1.7725951884711046
027641,1.0121451399906622
025350,1.687294057507223
041072,1.8123853360539988
027815,1.511696146369838
016303,1.7795294192812066
022672,1.8497506540524657
017920,2.094439106864334
031737,1.062539702776601
016242,1.8042973397865785
021347,1.5687173944611292
017741,2.109918054619202
020201,1.0268806442664442
031780,1.2746845389967585
025350,1.4741447345563465
015332,1.42769015405282
021390,1.1574295570769342
025369,1.1327160618359309
016237,1.6630841847512472
016505,1.5989356444347493
022144,1.8665771812778424
019759,1.305423377418781
025425,1.7679952026830585
026415,2.0108578832730974
020927,1.565344776071344
020277,1.0246489583468734
033185,1.8950063156740846
022506,1.4116182514700617
025430,1.7006023668901367
032195,1.7248143749937555
033468,1.6222894720064192
040124,1.3787135482013269
038828,1.3981861070628394
023799,2.1668852684703133
026095,2.0000608744753134
021880,1.1894223598476117
040242,1.8651262761478542
025492,1.1901856548474203
038994,1.3182408310563904
028669,1.188713091399667
020183,1.464979076616821
024483,1.1104737052790845
021615,1.666573729344936
029447,1.8172892617250604
021333,1.2966434849869433
035981,1.3209732232761393
023817,1.271015547114498
018514,1.3778284238849758
041374,1.2301133438904006
035858,2.0900764748729337
025519,1.1291606130568108
026279,1.2882009428464858
018458,1.6436494079149035
022238,1.7311205492747215
029485,1.6367303797736954
024510,1.5284143078625727
020772,1.5291303186961271
029744,1.9753361110763241
038116,1.4058180534916358
039432,1.9629622332347212
033557,1.2586297209698123
030785,1.8854301932441913
031935,1.5234283364889287
023450,2.3790995409458082
033543,1.5813972545667148
025500,1.7927721605785565
016973,1.5632133323342219
020847,1.3837666311087178
031624,1.0930539076216972
025680,1.235148306892769
040464,1.620344491512067
025618,1.7129786442219914
017736,2.002209658213693
020220,1.0489968950263222
025185,1.9955078353797802
028198,1.796134079186342
016440,1.8279041807099103
031799,0.9712899180836916
029310,1.4871737841777215
021955,1.1482113342104088
021540,1.3608627097870296
023313,2.173009985656816
023841,1.3653465939454246
016261,1.500383630205357
028594,1.1435579591324005
019641,2.0790276597935637
018868,1.133105287979582
017029,1.4963329985710676
032954,1.9683914733454944
023167,2.2624439384681567
025977,1.6991761557514686
031662,1.1917884239625631
024360,1.597815677256576
024039,1.7195231149450163
027603,1.4120107091555412
025524,1.6919645340463985
024119,1.3319160768604665
018953,1.7841588266126984
024223,1.8933026663286179
032063,1.9461497105700434
037975,1.537664666062395
021861,1.153365030565924
015370,2.175316985706051
019311,1.7832469409238165
040261,1.223945687980211
018156,1.5957985334184404
025618,1.6006293570502417
020625,1.1514805338501486
032157,1.0982153852466245
019561,2.1228502084295013
021936,1.2694858647336935
033251,1.1964132127391203
030101,1.8048260078968046
025500,1.488865376414116
019561,1.6032019517623728
025557,1.5570874628069564
018123,1.6597482680794462
015389,1.600832197258974
017048,1.9842472347025122
021818,1.879780003973909
021125,1.0466071146760483
023803,1.0385951024098854
024464,1.2237658922324923
023799,1.5252557344765214
018081,1.7091526204369567
025821,1.5833060472811529
038866,1.6200630615785323
024807,1.985765826695499
028612,1.5857052028336374
023407,1.554049103394397
039658,1.7250045775730802
039984,1.1981786676016046
020357,1.6721700086122089
021842,1.5994425049984782
033538,1.8970113065833394
040077,1.3671261479977455
025294,1.5859196914196334
040162,1.1012920016514185
025524,1.6725819815612826
020673,1.3258162246986815
040505,1.514881211305811
040893,1.298077323301482
028061,1.3073412611538866
020668,1.066162243192425
024713,1.7315332179710525
042024,1.0902242910216384
023619,2.2271803190177133
025982,1.7597752576598251
020258,1.7439679666822383
023389,1.7873231361884108
023704,1.3086492216075385
026613,0.9913681361405526
039559,1.3160147528845583
029937,2.0210798630446662
031681,1.2826870147359335
025374,1.2411063573385874
028283,1.4781384834127078
035938,1.8555485092702129
021168,1.6228880350451291
024360,1.6226875230106683
024850,1.3134352643277163
025374,1.6295553409048933
020729,1.7238125210395812
020786,3.002659830224011
028419,1.838908370726811
025307,1.7417780065130983
040082,1.1182735585603971
028141,1.1251641557060585
021050,1.6650421327182576
025557,1.4304356283217456
039578,1.3539197347970133
019702,1.5704282800238576
032223,1.6180567252013274
026745,1.240360650132328
020833,1.4491138535586021
031582,1.5441453978471498
017232,2.5709529508207782
022182,1.0210513488855173
018038,2.109910219091817
024015,1.084875830695706
019052,1.6761553784879615
025454,1.3966568661033503
023902,2.4507457601522873
021272,1.4471494714658524
015308,1.4594312297824479
016954,1.500112328816309
017034,1.630028722834391
040794,1.6625473664735564
021663,1.1330642216060782
040256,1.3549713656772921
036264,1.5427869540131847
025289,1.4219239551183902
019599,2.4933142480200594
017543,1.2450192835964877
025430,1.6694297929704036
033703,2.059084974053735
039465,1.5200696803864524
023332,1.4021946647822692
017227,2.208952548407373
040628,1.9290651496109654
024478,1.829701636342485
024015,1.2708987178548359
024237,1.4637905680657581
039253,1.3026954127519492
016336,1.8640016536697421
024275,1.2544468106930466
022304,1.7074674503154978
019617,1.9699982800522606
025331,1.672116532429584
041901,1.8297403244178425
024954,2.1815218432708243
080742,1.5872511294102911
019561,2.569707264892783
027882,1.4061497251331183
024987,1.3239054164560589
017816,1.4659295390607003
017473,1.2386836650383855
016888,1.2438743490041242
025128,1.5350377726073634
031884,1.12962842970476
024421,1.139624013107949
022219,1.8731912526748649
016299,1.7481235945412612
038734,1.3456031945155125
025369,1.4978908232865014
025604,1.7109557568211964
028278,1.3803593136535528
022870,2.336991774971124
041345,1.2998556401006929
021074,1.7387350234257644
017939,1.394392276800943
020951,1.3899948338133454
021069,1.5319070276239901
026095,1.5690790862200714
016317,1.4737690014261953
028787,0.9934019800072913
022158,1.7885501481056025
017982,1.8262300611285116
027165,1.7953089782227614
015327,1.4182008091567928
021762,1.3336243727353563
017208,1.5287926513461374
022479,1.531370519448449
040096,1.071448171631122
024992,1.892319571475309
025519,1.5514733815738226
040402,1.9463276210651257
040987,2.0333823455498203
031638,1.038618406160142
025411,1.5203997299933731
024483,1.436059460396473
024614,1.657654310259466
027556,1.198469544668324
022592,1.7250099547953022
025166,1.3270587781852035
030144,1.5004998719357994
022568,1.5321176545934716
028103,1.576343186573898
033393,1.5683246489908278
023657,1.6762657872715516
024464,2.4919774635027045
022889,1.4918595956302962
017251,1.1973953978237215
025010,1.121973804177831
023997,1.4640308299262113
026627,1.9031161878308915
024893,1.1920903037218331
019641,2.163312409557641
017595,1.8310850980118039
038710,1.897861834859679
016218,1.9173478524222627
034613,2.3550924937783897
029659,2.1296209588986974
017411,1.5571375668911989
018340,1.6816943679095642
025680,1.198379231809425
016893,1.7346291553092072
025642,1.44044612856603
038951,1.2316633813360978
019306,1.4931184557115824
032143,1.2170062964949562
025963,1.7624594507531834
016534,1.4409015960618237
031841,1.3344911716058703
025642,1.3414724781261063
025454,1.3235716429194668
015313,1.546679453459379
029292,1.3245239392278565
019165,1.710766248080001
038692,1.6960956386806192
024529,1.0830388419127124
030059,1.4785556916515168
032586,1.1336041196020026
030568,1.7385900774915835
020965,1.4327233645018065
026774,1.1088483955272148
029739,1.5289493779552314
029225,1.7773459448458664
025492,1.4621409991828125
017604,2.3465155547242684
039205,1.5870866508056716
017425,1.2464598571085101
023266,2.009966629387964
023940,1.2256144644418334
030040,1.5641714301655165
023902,1.058070594291688
040280,2.0329829234945005
016652,1.767106394672302
017449,2.421283742756046
032435,1.045678570159706
025393,1.193663851166224
025166,1.3439280971247631
016497,1.1962403517815154
028773,1.1141541697126494
023186,1.5100865477217047
025699,1.1816927659416618
024044,1.4773563850932783
039979,1.600506248605245
027453,0.9981797071905505
022139,1.6358170179547178
032261,1.2695466837565301
024845,1.8303908132235964
028136,1.8239107644929868
021253,2.178240867697692
020574,1.2797231092985561
021286,1.8313967354332235
033350,1.5714285714285725
019617,1.7450080538832262
040204,1.7501698623904356
019146,1.684118832106309
031558,1.5681363753309734
024973,1.944959448771029
020606,1.7836191814537052
040015,1.7001098326187964
015445,2.1149356249373596
023916,1.0116166484459868
018316,1.513373618680462
019698,1.2564853579771205
023515,1.340315540504629
033091,2.247078521369303
025958,1.8381614515919962
019392,1.4481373922195697
025312,0.9829238348404639
015884,1.1386440177974526
017128,1.588841353257106
025294,2.2543177746249192
020362,1.597717213044303
025680,1.472381566442985
041920,1.4471533661659288
024572,1.9045046763198226
030479,1.2467266927311167
018726,1.487780856044953
030714,0.9957242668153656
041963,1.3859413577035058
018670,1.092948123582835
029635,1.37203334602291
025703,1.3873068708269676
040044,1.1446888799325745
018199,1.5159200428715123
019467,1.2288159691003182
021984,1.5028650645091384
015676,2.3288777955240736
041152,1.6406168551460385
018774,1.1586295995956872
025703,1.1741994291287432
033543,1.778223255134525
022196,1.553345583811279
022224,1.802426107725943
023105,1.4769248980910366
023285,1.141815997611253
015365,1.5418860691385516
016280,1.6454512916942947
022771,1.6829094925444676
029923,2.0392544955881196
018222,1.7721349252560112
025393,1.6023351415068043
027226,1.7677291563743855
028476,1.674874732252391
017618,1.8127840055263098
019207,1.4469256108814519
022262,1.7409193524793638
018547,1.785960140507051
028886,1.2187068083682373
029602,1.603799392490838
024483,1.7002476954700823
023110,2.992820798423108
023855,2.2536560607012768
018608,1.5699857682254612
021535,1.813787701882905
018731,1.1879900332443252
020512,1.8753388120946237
020300,1.3902087012675002
031129,1.7867200688204632
018651,1.8463048448518364
029857,1.5029376422879683
024336,2.0906949126081247
020994,1.4558398106929487
025345,1.6132378823568112
038847,2.2836701166881
016845,1.7781115764739472
027523,0.9989842746511371
022530,1.8153947425622319
037598,1.7941154159148822
021620,1.1211756570933504
016275,1.3536212171384812
038084,1.4185708057480597
015346,1.505659688600112
039192,1.5326163485794642
033717,2.0738033514613154
016256,1.933869902795046
027561,1.0079149229032058
028122,1.2790422664639072
017642,1.26441316971817
024355,1.6593519757918156
027387,1.0964641851466437
028117,1.387050203967685
021045,1.3617975184718878
021446,1.303068433765814
041604,1.4392778065397447
016223,1.8270051277533654
040195,1.206119069442888
024261,2.2487819592586
023394,1.331278084191724
017294,1.2083444314414808
027306,1.3562983740060213
019919,2.18243973822564
022686,1.63334321240792
039521,1.421583657489375
020908,1.9719351821713933
026608,1.608161203210774
016510,1.224000943710171
033345,1.538509371596244
017430,1.1975357832134113
023092,1.462524633613251
032992,1.668112976365197
